id,title,username,language,date,content
NPrtPVhC,Untitled,Tkap1,C,Wednesday 8th of May 2024 01:04:44 PM CDT,"
// usage
{
	char* str = ""athano azen"";
	char entity_a[128];
	char entity_b[128];
	char* curr = str;
	curr = parse_identifier(curr, entity_a);
	if(!curr) {
		// DIDNT FIND AN IDENTIFIER AKA ENTITY NAME IN THIS CASE
		return;
	}
	curr = parse_identifier(curr, entity_b);
	if(!curr) {
		// FOUND ONE NAME BUT NOT TWO
		return;
	}
	// entity_a is ""athano""
	// entity_b is ""azen""
}

char* parse_identifier(char* source, char* fill_me_up_big_boy)
{
	// skip spaces
	while(*source == ' ') {
		source += 1;
	}

	char* result = null;
	if(!begins_identifier(source[0])) { return result; }
	int i = 1;
	while(true) {
		if(!continues_identifier(source[i])) {
			memcpy(fill_me_up_big_boy, source, i);
			fill_me_up_big_boy[i] = 0;
			result = &source[i];
			break;
		}
		i += 1;
	}
	return result;
}




/////////
bool is_number(char c)
{
	return c >= '0' && c <= '9';
}

bool is_alpha(char c)
{
	return (c >= 'a' && c <= 'z') || (c >= 'A' && c <= 'Z')	;
}

bool is_alphanum(char c)
{
	return is_alpha(c) || is_number(c);	
}

bool begins_identifier(char c)
{
	return is_alphanum(c) || c == '_'
}

bool continues_identifier(char c)
{
	return begins_identifier(c) || is_number(c);
}"
Ak2Msbpj,practice hsc 1,splash365,C++,Wednesday 8th of May 2024 01:01:01 PM CDT,"#include <stdio.h>

int main()
{
    int n;
    printf(""Enter a number: "");
    scanf(""%d"", &n);
    
    for(int i = 1; i <= n; i++)
    {
        for(int j = 1; j<=i; j++)
        {
            printf(""%d"", j);
        }
        printf(""\n"");
        
    }
    
    return 0;
}



/*
Enter a number: 4
1
12
123
1234
*/

---------------------------------------------------

/**

Find if a number is prime (without function)

**/

#include <stdio.h>

int main()
{
    int n;
    printf(""Enter a number: "");
    scanf(""%d"", &n);
    
    int flag = 1;
    for(int i = 2; i < n; i++)
    {
        if(n % i == 0)
        {
            printf(""%d is not prime\n"", n);
            flag = 0;
            break;
        }
    }
    if(flag == 1) 
    {
        printf(""%d is a prime\n"", n);
    }
    
    return 0;
}



/*

Enter a number: 20
20 is not prime

*/

